,,UP,DOWN,LEFT,RIGHT
0,0,-100.0,-0.5433214973187728,-100.0,-100.0
0,1,0.0,0.0,0.0,0.0
0,2,-100.0,-0.5491311123328576,-100.0,-0.5481716126733978
0,3,-100.0,-0.4986598131448474,-0.5915838620316454,-0.591493656110235
0,4,-100.0,-0.5480109618309104,-0.5480412946479201,-0.5558280717007917
0,5,-100.0,-100.0,-0.5488257049937426,-0.5506993494979164
0,6,-100.0,-0.5465904605341003,-0.5501268892183981,-0.5468502348791516
0,7,-100.0,-0.5530471868373542,-0.5517873696144326,-0.5563233285703839
0,8,-100.0,-0.5543743317762742,-0.5547860726414336,-0.5574646852043128
0,9,-100.0,-0.5561939370630486,-0.5549200670738071,-100.0
1,0,-0.5828719070529029,-0.5033366570071579,-100.0,-0.5850848269167743
1,1,-100.0,-0.5447853440547467,-0.5454539737946263,-0.5462502660853484
1,2,-0.5313390516663108,-0.5334098372293197,-0.5248854363772546,-0.5216759415687389
1,3,-0.5400829080198509,-0.5381815567604177,-0.5634637235211232,-0.4698280890655133
1,4,-0.5862785934588659,-0.5851407399090973,-0.5038249085753091,-100.0
1,5,0.0,0.0,0.0,0.0
1,6,-0.5867178984319703,-0.5050111707070172,-100.0,-0.5849379158250317
1,7,-0.5678116485397645,-0.543972351836988,-0.5438115126801417,-0.5575417428531072
1,8,-0.556722522687288,-0.5515397585058381,-0.5543656483650518,-0.5548291443058407
1,9,-0.5531758854981845,-0.5554887163433768,-0.557969532608011,-100.0
2,0,-0.5402790922548857,-100.0,-100.0,-0.4699548338169098
2,1,-0.583240252173898,-100.0,-0.5005768545033874,-0.5828032598362314
2,2,-0.5469946673771463,-0.5492908163350412,-0.5449163144701914,-0.5450645357470166
2,3,-0.5017885961147962,-100.0,-0.587557436408968,-0.5892633812924633
2,4,-0.5470590719999789,-100.0,-0.5471277181115911,-100.0
2,5,0.0,0.0,0.0,0.0
2,6,-0.5400101868016586,-100.0,-100.0,-0.47133490385600724
2,7,-0.587254047316924,-0.5868060646745491,-0.49743254049015734,-0.5871072067127578
2,8,-0.5533009197752567,-0.5484763854446606,-0.5426655593270528,-0.561719560071354
2,9,-0.5545062950041342,-0.5581856371902543,-0.5546464539915621,-100.0
3,0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0
3,2,-0.5374839412372188,-100.0,-100.0,-100.0
